,id,product_code,loading,attribute_0,attribute_1,attribute_2,attribute_3,measurement_0,measurement_1,measurement_2,measurement_3,measurement_4,measurement_5,measurement_6,measurement_7,measurement_8,measurement_9,measurement_10,measurement_11,measurement_12,measurement_13,measurement_14,measurement_15,measurement_16,measurement_17,failure
12460,12460,C,63.65,material_7,material_8,5,8,11,12,4,17.667,11.205,16.866,17.229,11.775,19.115,11.028,16.774,19.883,11.959,14.979,13.596,15.323,17.243,680.324,0
18149,18149,D,185.25,material_7,material_5,6,6,8,5,9,18.39,11.862,,19.458,10.255,18.572,12.583,,18.559,12.57,15.283,18.325,14.162,17.037,755.146,0
22246,22246,E,215.87,material_7,material_6,6,9,9,7,7,18.082,11.018,18.24,19.278,12.553,17.905,11.464,14.878,18.7,11.228,15.16,19.369,13.894,15.623,788.39,0
3029,3029,A,158.95,material_7,material_8,9,5,11,3,5,18.525,9.836,17.862,17.323,12.348,19.444,11.341,,20.599,9.484,15.67,15.319,16.364,14.774,759.129,1
13588,13588,C,161.76,material_7,material_8,5,8,11,4,3,17.497,10.677,17.364,18.09,11.768,19.288,12.175,16.689,15.737,12.836,17.042,18.754,14.794,14.742,771.069,1
23237,23237,E,167.1,material_7,material_6,6,9,7,6,5,18.303,12.21,15.802,17.391,12.186,19.249,10.746,15.929,19.109,11.847,15.769,,,17.059,,0
10402,10402,C,95.96,material_7,material_8,5,8,14,13,4,18.209,13.059,17.662,15.824,12.205,18.857,11.525,,20.279,10.681,14.37,14.04,16.574,17.659,725.304,0
24387,24387,E,216.61,material_7,material_6,6,9,2,3,12,15.772,11.393,16.957,16.513,11.45,19.475,12.96,17.588,20.123,10.53,15.499,,16.935,16.324,,1
20734,20734,D,81.41,material_7,material_5,6,6,7,6,6,17.071,12.246,15.819,19.104,,18.081,11.811,,20.271,10.165,14.531,17.85,17.127,14.593,679.258,0
3192,3192,A,105.3,material_7,material_8,9,5,10,1,4,19.169,12.872,17.404,,13.196,18.38,10.028,15.039,19.999,11.935,14.887,15.621,17.323,15.368,,0
24421,24421,E,138.39,material_7,material_6,6,9,5,11,6,17.863,12.345,16.489,17.987,10.716,17.839,10.754,16.283,20.382,11.938,16.223,13.105,14.856,16.768,630.44,0
13781,13781,C,122.25,material_7,material_8,5,8,16,10,3,18.52,11.443,16.315,19.335,10.966,19.776,10.636,16.582,19.72,10.946,16.249,15.124,15.673,13.731,679.971,0
1454,1454,A,83.21,material_7,material_8,9,5,10,5,5,19.732,11.112,17.529,17.153,13.97,17.77,11.346,15.193,15.677,10.497,16.484,14.819,16.053,13.644,665.306,0
2653,2653,A,149.64,material_7,material_8,9,5,1,0,13,17.904,12.083,17.463,17.902,11.794,18.39,11.927,15.775,17.373,12.433,,15.406,14.864,19.872,687.818,0
9492,9492,B,95.75,material_5,material_5,8,8,7,9,5,17.561,12.124,16.784,18.384,13.267,19.815,11.626,16.964,18.25,12.618,16.552,18.429,16.972,18.392,842.587,0
11643,11643,C,117.63,material_7,material_8,5,8,3,6,10,16.887,11.664,16.632,18.344,10.687,20.21,10.269,15.933,18.635,11.947,16.535,18.995,16.33,,703.936,0
2598,2598,A,105.85,material_7,material_8,9,5,7,3,4,19.001,12.502,16.393,18.299,11.367,20.057,10.865,17.335,22.426,13.85,15.114,16.258,18.427,20.049,760.656,1
20985,20985,D,107.34,material_7,material_5,6,6,5,13,6,17.404,12.254,17.056,16.017,13.448,18.843,11.635,16.638,19.32,9.459,15.76,14.983,16.689,15.301,619.913,0
8824,8824,B,72.15,material_5,material_5,8,8,3,9,11,17.304,12.989,16.158,17.527,11.588,20.954,9.893,15.412,20.609,10.337,17.553,16.072,15.144,18.921,663.191,0
1817,1817,A,111.95,material_7,material_8,9,5,3,2,4,17.403,11.557,18.081,15.833,10.114,18.824,10.149,14.108,21.05,11.74,16.052,14.491,,19.505,653.684,0
18521,18521,D,71.33,material_7,material_5,6,6,7,6,12,18.705,12.399,17.491,17.246,12.4,20.029,11.947,14.127,18.359,10.773,15.427,15.491,13.312,18.957,813.163,0
16584,16584,D,120.12,material_7,material_5,6,6,11,16,10,19.134,10.625,16.795,16.858,11.444,17.977,11.126,17.602,19.54,,16.653,13.937,15.056,15.899,,1
8253,8253,B,98.93,material_5,material_5,8,8,10,14,12,17.433,10.551,16.418,18.065,11.629,19.973,13.072,16.856,19.244,12.946,16.272,16.174,15.47,16.98,653.14,1
25744,25744,E,93.07,material_7,material_6,6,9,3,17,6,17.722,11.885,15.62,16.328,12.73,19.361,12.882,14.592,17.309,12.077,,16.986,14.671,14.871,572.75,0
13225,13225,C,159.98,material_7,material_8,5,8,4,9,4,18.805,11.343,18.455,17.818,13.724,18.927,12.786,16.176,14.731,7.895,14.277,11.734,13.364,21.301,,0
8097,8097,B,105.65,material_5,material_5,8,8,4,9,6,18.731,12.134,17.568,17.045,13.17,18.148,12.439,16.475,19.174,12.656,16.823,16.612,,16.798,906.859,0
3098,3098,A,101.75,material_7,material_8,9,5,12,1,8,18.676,11.64,16.144,15.414,12.468,19.676,10.315,17.463,19.545,11.951,15.025,16.52,12.648,,653.926,1
21437,21437,E,93.97,material_7,material_6,6,9,8,6,9,17.391,14.824,16.752,16.235,12.571,18.046,13.339,16.467,21.018,,15.074,13.707,14.933,17.048,725.594,0
3446,3446,A,163.49,material_7,material_8,9,5,16,2,3,17.217,12.298,17.344,17.468,11.339,18.585,13.01,16.35,21.439,12.678,13.538,18.979,14.727,14.841,676.363,0
18059,18059,D,115.51,material_7,material_5,6,6,2,8,8,17.394,11.507,17.089,17.784,12.511,18.143,12.564,20.536,17.939,13.898,,15.423,14.437,16.401,702.186,0
9584,9584,B,98.4,material_5,material_5,8,8,11,13,4,16.827,11.882,17.797,18.482,12.038,17.463,9.775,16.516,19.909,10.379,14.271,17.653,14.281,15.067,696.094,0
20601,20601,D,223.29,material_7,material_5,6,6,6,14,11,16.791,11.249,17.37,18.646,10.058,18.353,9.397,17.749,17.755,13.506,16.356,16.563,12.947,18.982,679.585,0
6822,6822,B,160.94,material_5,material_5,8,8,4,8,9,18.72,14.418,17.206,16.734,11.366,18.476,11.59,17.561,17.433,10.942,17.101,17.887,14.296,15.544,814.883,1
633,633,A,189.97,material_7,material_8,9,5,12,3,1,20.196,11.979,17.058,18.235,10.982,18.518,,16.415,17.646,12.829,15.909,15.728,15.367,,661.651,0
14186,14186,C,151.56,material_7,material_8,5,8,7,8,19,16.778,13.72,16.525,16.466,11.549,20.764,11.719,15.691,17.789,11.198,16.529,15.462,12.455,,824.637,1
10115,10115,B,151.21,material_5,material_5,8,8,3,0,1,17.088,12.955,17.363,17.057,10.958,20.174,9.69,14.854,22.608,13.162,15.172,18.059,13.448,17.333,636.856,0
6961,6961,B,103.8,material_5,material_5,8,8,3,10,11,16.686,10.604,17.259,17.845,12.155,19.073,11.099,13.876,19.14,12.862,17.001,14.203,18.185,16.952,664.645,0
13717,13717,C,120.73,material_7,material_8,5,8,12,8,10,18.364,13.467,17.101,17.37,12.603,18.105,12.036,15.825,20.819,10.607,16.825,15.448,14.277,14.064,673.704,0
14076,14076,C,127.84,material_7,material_8,5,8,15,10,13,16.206,12.558,17.927,18.215,11.297,19.036,11.454,15.359,20.302,12.162,14.549,13.192,14.58,16.023,731.792,0
7080,7080,B,46.8,material_5,material_5,8,8,7,14,11,18.063,12.127,16.523,16.313,11.635,19.25,12.44,,18.914,12.282,15.814,16.267,14.874,16.912,722.324,0
3132,3132,A,117.25,material_7,material_8,9,5,11,4,4,18.934,10.63,16.933,18.22,12.89,19.185,11.19,14.936,19.177,12.301,17.243,13.037,13.185,17.607,733.232,0
12262,12262,C,,material_7,material_8,5,8,9,10,1,18.334,11.63,16.539,17.428,11.93,19.574,11.146,,18.268,10.447,16.498,16.436,17.007,15.212,717.991,0
17797,17797,D,99.71,material_7,material_5,6,6,4,7,15,17.887,13.022,17.205,17.759,10.543,19.712,10.805,17.673,19.275,8.088,15.97,15.741,15.32,18.02,714.027,0
11893,11893,C,116.64,material_7,material_8,5,8,12,10,7,18.383,12.038,15.838,18.513,12.154,18.399,11.647,16.722,19.609,12.732,,15.791,14.642,15.773,609.975,0
2940,2940,A,140.58,material_7,material_8,9,5,9,6,10,17.697,11.56,17.486,17.887,9.559,18.512,,15.585,17.594,11.998,16.591,15.196,13.383,13.125,634.753,0
25036,25036,E,113.52,material_7,material_6,6,9,6,27,6,19.186,13.056,16.172,16.356,10.782,19.229,11.943,18.918,18.988,12.773,15.943,13.838,15.274,15.7,651.466,0
20889,20889,D,124.1,material_7,material_5,6,6,4,7,5,19.526,12.34,17.586,18.425,12.32,19.666,11.856,16.124,18.986,12.58,15.212,14.986,14.385,17.275,924.539,0
1032,1032,A,81.26,material_7,material_8,9,5,20,10,13,19.821,11.282,18.274,16.759,12.728,16.894,11.527,14.139,20.093,13.135,16.22,16.622,14.381,15.442,602.353,1
11339,11339,C,115.12,material_7,material_8,5,8,4,6,2,14.512,13.534,17.137,17.656,13.28,20.126,12.603,14.602,18.789,12.828,16.252,14.774,12.78,13.78,910.592,0
12906,12906,C,135.32,material_7,material_8,5,8,1,5,5,17.773,11.458,18.402,15.758,10.058,19.721,11.783,16.474,,11.182,16.263,13.136,15.123,16.38,763.483,0
2423,2423,A,67.38,material_7,material_8,9,5,13,3,3,17.558,12.809,18.193,19.255,10.804,17.196,11.026,17.049,16.679,12.603,,16.677,13.525,17.879,662.051,0
21457,21457,E,108.61,material_7,material_6,6,9,14,10,8,17.367,10.744,18.916,17.757,11.132,18.662,8.8,17.618,22.822,12.988,14.041,14.692,15.835,17.026,702.785,1
17528,17528,D,185.98,material_7,material_5,6,6,10,14,9,16.889,11.384,16.598,16.978,12.716,20.475,10.517,14.312,19.336,10.659,14.067,14.652,15.385,17.36,726.313,0
6804,6804,B,136.81,material_5,material_5,8,8,7,7,11,18.892,11.635,17.946,17.602,10.329,18.679,11.856,16.911,17.503,12.515,14.357,,16.894,18.831,635.059,1
19586,19586,D,137.35,material_7,material_5,6,6,7,5,10,17.051,12.403,18.27,17.956,10.404,17.936,11.936,16.559,17.841,,15.876,13.188,16.084,14.833,672.296,0
15435,15435,C,124.49,material_7,material_8,5,8,11,6,4,19.631,12.399,,17.334,12.11,19.57,11.992,16.591,,13.534,15.694,16.44,13.781,14.483,808.315,0
21703,21703,E,67.29,material_7,material_6,6,9,7,16,7,18.317,10.078,16.953,18.95,11.422,17.011,9.976,18.09,16.366,11.842,,12.85,16.433,15.247,527.038,0
24054,24054,E,88.77,material_7,material_6,6,9,7,10,8,17.886,10.377,16.022,17.522,10.328,19.917,13.452,13.956,21.255,10.484,16.793,14.418,14.621,15.358,654.609,0
21105,21105,D,120.44,material_7,material_5,6,6,9,21,6,18.463,10.37,17.642,17.208,11.18,20.595,12.264,19.019,18.786,13.277,17.488,19.297,13.82,17.431,785.417,1
20300,20300,D,107.67,material_7,material_5,6,6,8,13,10,17.286,11.561,17.299,17.642,11.207,19.348,11.232,15.274,19.901,11.334,15.589,14.29,15.282,17.851,706.641,0
14007,14007,C,92.24,material_7,material_8,5,8,8,12,6,17.671,11.835,15.799,15.801,11.095,17.576,,19.132,17.497,11.983,15.395,20.513,18.215,12.081,445.523,0
25362,25362,E,63.58,material_7,material_6,6,9,3,14,5,17.572,11.71,15.663,15.767,9.926,17.0,13.428,18.058,19.354,9.966,16.173,14.925,15.714,15.558,359.821,0
679,679,A,125.1,material_7,material_8,9,5,15,3,3,15.94,11.881,16.457,18.603,12.447,22.058,10.832,,18.774,13.753,14.224,15.253,13.151,,945.099,1
23998,23998,E,112.26,material_7,material_6,6,9,7,11,4,17.822,11.691,17.659,,12.504,20.167,8.555,17.088,22.068,12.643,15.572,15.366,13.875,17.0,810.777,0
4169,4169,A,234.03,material_7,material_8,9,5,7,3,8,16.571,10.903,17.398,17.682,13.924,16.892,11.416,15.862,19.687,12.938,16.616,16.016,15.275,14.515,599.288,1
14814,14814,C,126.11,material_7,material_8,5,8,9,8,4,17.551,11.618,15.763,17.389,10.812,18.684,11.22,15.431,18.162,9.815,13.716,15.328,16.29,18.667,551.73,0
8599,8599,B,134.98,material_5,material_5,8,8,3,15,7,17.309,8.917,18.521,17.051,12.607,18.867,11.05,16.008,17.799,13.456,16.24,17.064,17.034,14.937,682.686,1
16760,16760,D,139.67,material_7,material_5,6,6,13,9,5,17.684,13.243,18.354,18.751,10.139,19.48,11.898,18.023,19.434,9.915,15.648,,14.1,18.999,842.713,0
20526,20526,D,119.75,material_7,material_5,6,6,7,10,6,,13.761,,18.303,12.347,17.454,,16.091,19.052,11.911,14.403,14.67,13.972,18.081,789.383,1
24596,24596,E,105.86,material_7,material_6,6,9,9,6,10,16.976,10.123,17.539,17.085,12.094,18.369,11.142,17.938,18.504,12.917,16.105,,,14.243,547.384,1
4122,4122,A,160.4,material_7,material_8,9,5,9,5,4,17.319,12.243,17.486,18.84,11.969,19.756,11.635,14.768,22.293,13.012,15.443,16.196,18.247,17.941,827.904,1
9815,9815,B,113.16,material_5,material_5,8,8,3,9,15,17.999,10.964,16.642,19.431,11.279,17.754,11.056,16.665,20.886,10.901,14.373,,13.154,19.635,604.874,0
9787,9787,B,56.11,material_5,material_5,8,8,3,4,10,18.383,11.265,15.795,16.584,11.346,18.87,11.557,15.703,19.227,11.846,15.187,16.618,15.266,17.033,615.424,0
16718,16718,D,102.69,material_7,material_5,6,6,7,11,9,16.772,11.204,17.056,17.33,11.425,19.216,10.767,18.534,18.273,13.777,,16.575,13.518,17.254,650.163,0
9745,9745,B,193.6,material_5,material_5,8,8,5,14,13,16.382,10.841,19.802,16.905,11.269,18.406,10.698,15.837,,11.652,15.663,,13.337,17.055,671.042,0
8140,8140,B,151.25,material_5,material_5,8,8,5,9,6,17.774,11.018,16.85,17.901,12.687,17.296,11.438,18.277,20.084,10.196,15.279,16.678,13.821,15.918,743.893,0
170,170,A,128.26,material_7,material_8,9,5,9,8,6,17.595,13.037,18.311,17.564,12.755,19.194,10.471,15.367,,13.577,14.583,16.161,14.67,15.881,831.168,1
13096,13096,C,133.95,material_7,material_8,5,8,10,7,3,17.074,10.591,17.569,,11.92,19.243,13.118,16.253,,10.715,15.059,15.063,18.036,19.376,810.489,1
2882,2882,A,161.25,material_7,material_8,9,5,16,4,3,18.099,10.457,16.719,17.315,13.117,20.353,12.52,,17.946,11.59,18.558,13.914,13.222,19.126,789.731,1
3205,3205,A,95.47,material_7,material_8,9,5,3,5,6,17.848,12.384,18.347,18.039,12.564,18.226,11.106,17.432,18.589,7.915,16.801,14.421,14.001,17.701,755.943,1
14161,14161,C,85.11,material_7,material_8,5,8,12,8,3,17.217,11.489,17.095,18.119,10.095,19.39,10.927,15.234,17.36,8.208,17.072,13.494,18.703,17.513,651.683,0
18597,18597,D,151.59,material_7,material_5,6,6,5,9,8,16.581,11.741,16.422,18.723,10.862,20.662,11.416,17.747,21.081,11.423,13.09,18.302,13.732,18.86,792.564,0
22448,22448,E,188.87,material_7,material_6,6,9,4,19,7,17.163,13.442,16.556,17.828,12.443,19.497,,15.503,19.234,9.648,16.357,16.942,16.012,16.319,834.046,1
18321,18321,D,111.64,material_7,material_5,6,6,4,16,6,19.0,9.894,18.155,16.925,13.224,18.558,10.483,15.735,19.144,13.212,14.807,12.534,16.608,18.568,787.59,1
18396,18396,D,110.19,material_7,material_5,6,6,9,7,7,18.098,11.371,15.894,17.512,12.262,18.444,11.298,18.698,20.531,11.426,14.363,18.044,16.736,13.103,,0
1033,1033,A,92.77,material_7,material_8,9,5,19,1,1,17.609,14.111,16.915,17.598,11.986,18.318,10.646,15.659,18.445,,15.421,14.963,14.11,15.798,677.583,0
15808,15808,C,152.16,material_7,material_8,5,8,6,8,5,19.36,9.455,18.954,18.172,12.438,16.471,11.563,15.676,18.99,13.163,15.893,17.375,16.167,18.151,602.741,0
19413,19413,D,121.03,material_7,material_5,6,6,8,13,8,18.501,11.799,16.339,18.331,10.538,18.75,12.699,17.667,19.378,11.527,17.969,16.189,,16.603,671.879,0
1385,1385,A,98.44,material_7,material_8,9,5,13,6,4,17.081,10.709,17.184,16.912,12.1,19.56,10.566,16.421,17.362,11.419,15.741,16.829,13.837,,723.464,0
1295,1295,A,139.4,material_7,material_8,9,5,18,4,4,17.245,12.67,17.19,18.394,12.716,18.347,11.9,16.443,17.102,14.511,,14.252,13.498,17.33,712.998,1
8875,8875,B,142.35,material_5,material_5,8,8,1,15,4,19.918,11.289,18.255,17.464,12.967,18.781,11.157,17.208,17.878,12.274,16.684,15.203,15.959,15.791,861.143,0
17639,17639,D,125.17,material_7,material_5,6,6,5,13,5,17.321,12.257,17.758,,12.298,18.069,,16.976,19.921,10.228,15.436,16.434,14.009,15.441,674.366,1
23056,23056,E,83.98,material_7,material_6,6,9,6,10,3,19.048,11.491,18.064,17.117,11.562,18.474,9.771,16.708,21.395,12.274,15.849,14.67,15.262,16.66,644.326,0
3126,3126,A,107.34,material_7,material_8,9,5,11,1,1,,10.438,17.88,17.382,11.487,19.848,11.548,16.212,18.768,13.847,16.317,16.671,13.877,15.983,780.814,0
21465,21465,E,117.56,material_7,material_6,6,9,5,6,8,16.064,8.824,18.37,16.98,11.378,16.665,11.175,16.939,19.285,,16.415,15.975,15.784,20.774,394.272,0
21326,21326,E,81.7,material_7,material_6,6,9,4,10,7,16.319,11.912,16.593,17.631,12.266,19.232,11.134,14.536,21.149,10.068,15.76,15.06,16.23,16.333,,0
19534,19534,D,171.09,material_7,material_5,6,6,5,14,5,16.23,12.505,16.897,17.993,12.185,18.302,12.278,,19.676,9.327,16.479,17.605,,18.429,674.078,0
16734,16734,D,116.76,material_7,material_5,6,6,10,15,4,19.119,10.898,15.744,17.038,12.226,17.678,12.175,19.945,19.471,11.548,15.53,19.452,18.942,,,0
7360,7360,B,147.95,material_5,material_5,8,8,6,7,10,19.136,12.685,16.03,17.552,11.88,18.423,10.942,15.536,20.37,12.103,17.92,16.955,12.628,19.762,731.514,0
8871,8871,B,88.77,material_5,material_5,8,8,0,12,10,17.656,11.351,16.261,18.856,10.293,18.388,9.857,,18.245,11.586,14.141,16.096,14.339,14.093,484.665,0
17215,17215,D,144.88,material_7,material_5,6,6,10,10,8,18.231,10.499,17.536,16.343,11.001,17.997,10.268,19.54,,11.662,13.614,18.485,15.2,11.199,535.85,0
1497,1497,A,123.39,material_7,material_8,9,5,13,4,3,17.63,12.108,16.683,18.9,13.813,19.749,14.535,,19.84,10.618,16.671,,13.921,16.688,,0
25176,25176,E,109.36,material_7,material_6,6,9,6,7,6,18.772,12.457,16.588,16.202,11.78,17.652,11.919,15.122,17.967,10.999,13.268,,15.915,14.944,516.87,0
8992,8992,B,112.26,material_5,material_5,8,8,4,4,9,18.017,12.042,14.916,19.131,12.046,19.443,10.965,16.047,,11.58,14.626,18.821,13.447,15.292,657.797,1
747,747,A,96.06,material_7,material_8,9,5,8,1,0,18.621,12.882,17.538,17.396,10.278,18.652,12.166,14.997,18.895,10.117,13.854,17.57,18.79,16.58,673.617,1
23719,23719,E,78.79,material_7,material_6,6,9,2,17,10,19.014,11.1,18.007,17.5,11.306,20.468,10.123,14.891,18.475,14.156,16.176,16.302,15.545,16.438,801.969,0
12221,12221,C,122.3,material_7,material_8,5,8,6,15,7,17.433,12.083,17.617,16.748,12.69,20.652,11.722,15.162,20.048,9.922,16.475,16.231,15.322,15.593,921.084,0
5981,5981,B,87.84,material_5,material_5,8,8,3,7,7,17.513,11.708,17.706,17.324,11.383,18.075,11.352,,19.241,13.016,18.817,13.206,15.446,18.498,,0
16635,16635,D,101.4,material_7,material_5,6,6,6,8,3,16.718,10.799,16.956,17.03,12.114,18.603,,17.411,17.68,11.152,16.674,18.293,17.75,14.116,612.932,0
23090,23090,E,118.54,material_7,material_6,6,9,4,12,1,15.402,13.662,17.587,,13.463,18.312,10.833,15.36,19.707,,16.065,16.929,16.217,13.793,808.749,0
2206,2206,A,138.48,material_7,material_8,9,5,14,4,5,16.861,12.093,16.681,15.894,13.295,20.151,11.221,13.983,20.35,12.304,16.385,17.314,14.812,17.417,762.748,0
3056,3056,A,141.42,material_7,material_8,9,5,13,6,13,17.735,13.481,16.733,17.048,12.481,18.242,11.75,15.196,18.878,12.291,15.373,15.298,12.725,15.913,648.894,0
17040,17040,D,156.44,material_7,material_5,6,6,6,9,5,17.883,9.907,17.698,17.917,11.929,19.533,12.021,17.134,19.838,11.923,,15.682,14.404,17.323,816.866,0
7379,7379,B,159.64,material_5,material_5,8,8,8,9,10,18.529,11.67,17.396,19.721,12.592,17.473,11.134,15.727,17.045,12.419,14.459,16.467,13.944,17.4,789.216,0
590,590,A,72.36,material_7,material_8,9,5,5,1,3,17.659,12.27,,17.248,11.777,19.963,11.078,14.868,20.51,11.739,14.663,17.732,13.468,16.869,,0
24507,24507,E,228.85,material_7,material_6,6,9,5,11,10,17.445,11.46,16.065,16.865,11.89,19.98,12.763,15.962,17.966,12.787,16.411,16.287,15.282,13.865,661.17,1
7508,7508,B,174.86,material_5,material_5,8,8,4,7,9,17.957,11.077,16.497,16.602,13.594,,11.187,14.842,19.192,13.565,17.986,14.753,14.9,17.594,,0
23579,23579,E,123.29,material_7,material_6,6,9,7,9,6,19.594,12.855,17.48,18.307,13.363,18.738,11.55,14.627,17.428,11.699,15.972,19.055,15.215,16.547,834.647,0
11881,11881,C,173.36,material_7,material_8,5,8,7,4,3,18.393,10.235,18.172,17.376,10.736,18.783,10.895,17.061,18.35,9.796,15.945,16.248,17.666,16.58,672.586,1
21507,21507,E,161.13,material_7,material_6,6,9,5,11,1,16.655,12.212,17.957,19.911,11.069,19.45,11.068,13.801,19.134,12.166,15.219,18.313,15.154,17.24,993.833,1
1491,1491,A,142.73,material_7,material_8,9,5,8,2,4,18.201,12.128,,17.73,12.732,17.923,11.879,17.055,17.432,12.706,15.216,14.574,,14.195,682.857,0
6569,6569,B,135.18,material_5,material_5,8,8,3,8,5,16.077,11.447,17.866,17.385,10.445,19.952,11.275,17.448,20.259,11.678,16.498,17.56,15.782,18.75,566.459,0
11356,11356,C,123.55,material_7,material_8,5,8,15,7,15,18.526,11.768,16.225,17.169,11.263,19.093,11.309,16.663,17.906,11.103,13.314,17.331,16.113,17.571,634.285,0
16511,16511,D,78.12,material_7,material_5,6,6,10,19,11,16.106,12.817,17.581,17.068,11.41,18.076,13.503,15.829,18.691,11.645,,13.451,15.325,15.884,577.278,0
23704,23704,E,108.56,material_7,material_6,6,9,8,9,8,18.217,10.0,15.534,17.609,11.927,18.724,11.652,16.793,20.279,11.395,16.235,16.675,16.781,18.937,483.555,1
17321,17321,D,90.72,material_7,material_5,6,6,14,9,7,16.678,11.762,15.22,17.635,12.718,19.379,12.045,14.914,19.507,10.715,15.866,14.285,16.036,16.254,632.095,0
23498,23498,E,151.7,material_7,material_6,6,9,7,8,10,17.482,10.783,16.942,19.05,11.657,19.161,10.696,16.047,18.566,9.783,16.533,13.528,,,747.296,0
7089,7089,B,201.22,material_5,material_5,8,8,6,13,9,18.375,11.426,16.607,17.051,12.453,18.667,12.05,16.817,18.339,12.231,12.935,16.6,16.321,,,0
5265,5265,B,82.2,material_5,material_5,8,8,13,3,4,17.648,12.157,18.303,15.687,12.194,18.04,12.421,15.83,19.469,12.828,16.263,15.982,16.367,16.521,826.069,0
16642,16642,D,81.05,material_7,material_5,6,6,16,7,13,17.929,11.738,17.395,19.403,,20.324,12.252,13.147,19.799,12.09,15.345,15.284,17.695,14.444,995.48,0
9154,9154,B,153.06,material_5,material_5,8,8,6,4,14,17.573,10.262,16.303,18.352,11.437,18.922,10.818,15.87,,10.897,16.45,17.892,13.093,18.619,562.493,1
3136,3136,A,124.26,material_7,material_8,9,5,7,2,4,18.421,14.106,16.827,18.635,,21.45,11.142,16.664,19.11,13.039,16.137,14.944,15.141,16.258,941.154,0
9262,9262,B,163.08,material_5,material_5,8,8,5,12,5,17.291,11.838,18.175,16.469,10.757,17.087,11.856,17.045,20.007,11.963,16.387,16.833,16.816,19.706,660.714,0
8722,8722,B,128.92,material_5,material_5,8,8,0,5,9,18.844,,17.966,18.3,11.782,18.845,11.593,14.842,24.694,13.599,15.203,17.496,12.649,16.694,,0
12071,12071,C,97.01,material_7,material_8,5,8,0,8,1,18.585,13.665,17.19,16.357,10.286,19.356,9.89,16.879,18.516,10.603,15.778,16.654,17.692,16.112,610.195,0
23439,23439,E,121.64,material_7,material_6,6,9,10,8,7,17.402,11.868,16.781,17.812,12.193,18.973,12.503,14.356,18.649,11.581,15.762,16.815,14.085,16.949,727.584,0
25120,25120,E,99.56,material_7,material_6,6,9,6,15,5,18.454,11.668,16.147,15.747,12.325,19.105,11.318,15.203,20.077,13.679,15.292,13.983,13.882,15.398,498.377,0
9301,9301,B,132.84,material_5,material_5,8,8,3,0,11,17.778,11.964,17.533,17.489,12.837,18.84,12.063,14.391,20.32,11.828,17.798,15.11,16.662,18.909,839.753,0
11638,11638,C,73.46,material_7,material_8,5,8,9,4,7,17.536,9.096,17.795,18.521,10.251,19.457,12.124,16.641,21.088,7.534,15.3,19.885,17.145,16.096,746.663,0
11478,11478,C,111.06,material_7,material_8,5,8,3,8,8,18.071,11.759,18.544,17.313,12.21,18.236,10.847,15.759,20.107,13.78,14.201,15.39,15.124,16.499,701.625,0
7556,7556,B,142.26,material_5,material_5,8,8,14,11,8,17.883,13.219,17.296,17.9,10.011,19.001,9.34,16.726,17.568,12.13,16.177,16.471,14.978,13.475,568.833,1
18097,18097,D,107.63,material_7,material_5,6,6,8,5,8,17.548,12.315,15.711,17.027,12.347,16.988,11.843,15.949,21.415,10.082,16.66,14.963,17.385,14.324,473.128,0
8379,8379,B,74.4,material_5,material_5,8,8,7,3,7,18.111,11.895,19.084,16.677,10.878,18.015,11.528,14.899,18.373,8.975,15.852,16.464,,16.178,711.842,0
3325,3325,A,118.55,material_7,material_8,9,5,17,5,3,18.729,12.427,16.536,18.943,12.563,18.247,11.515,17.575,19.277,13.228,15.155,15.39,13.619,17.466,674.815,0
5803,5803,B,122.46,material_5,material_5,8,8,3,7,4,17.325,10.771,15.922,17.85,12.373,19.219,12.565,12.698,21.089,12.14,17.074,15.752,18.09,17.322,694.609,0
23812,23812,E,112.23,material_7,material_6,6,9,11,6,4,15.111,11.707,16.717,17.737,12.631,,9.765,14.524,19.856,12.321,,15.217,16.087,18.57,675.398,0
9695,9695,B,127.86,material_5,material_5,8,8,1,7,7,18.579,,17.083,17.755,12.778,19.831,12.074,18.483,18.442,11.058,,16.131,16.064,13.757,788.068,0
16819,16819,D,80.3,material_7,material_5,6,6,11,11,8,18.042,11.88,16.002,16.652,11.471,18.331,11.25,17.876,19.845,11.967,16.216,17.643,15.472,12.972,,0
4316,4316,A,93.01,material_7,material_8,9,5,12,6,3,17.232,11.823,17.751,16.574,11.154,18.722,11.421,15.576,19.8,11.413,15.534,16.359,15.533,16.766,677.059,0
4674,4674,A,156.33,material_7,material_8,9,5,14,3,5,18.749,11.403,15.689,18.019,12.661,19.297,13.118,15.535,19.837,10.634,14.76,15.457,16.484,15.543,667.318,0
22558,22558,E,79.0,material_7,material_6,6,9,3,12,7,,,17.385,,11.268,20.531,10.433,17.862,17.325,13.516,,17.292,14.282,12.821,626.738,0
8968,8968,B,86.78,material_5,material_5,8,8,4,8,14,18.211,11.445,16.554,18.99,13.063,20.651,11.507,13.847,20.649,12.065,13.909,14.817,,,796.265,0
9982,9982,B,65.14,material_5,material_5,8,8,4,9,6,17.846,11.842,18.406,16.648,,16.896,12.216,15.86,20.931,11.394,14.299,15.866,12.967,18.864,940.945,0
18379,18379,D,132.93,material_7,material_5,6,6,6,7,11,,10.798,17.346,17.361,12.132,,10.923,17.628,19.639,10.501,,,18.144,14.23,,1
