STORE NAME,LICENSE ID,ACCOUNT NUMBER,SQUARE FEET,BUFFER SIZE,ADDRESS,ZIP CODE,COMMUNITY AREA NAME,COMMUNITY AREA,WARD,CENSUS TRACT,CENSUS BLOCK,X COORDINATE,Y COORDINATE,LATITUDE,LONGITUDE,LOCATION
International Foods Nw Inc,1129.0,215.0,14000.0,A,4404 W Fullerton Ave,60639,Hermosa,20,31,17031200200,170312002003012.0,1146590.1362659945,1915632.373005355,41.9244726356,-87.736789505,"(41.9244726356, -87.736789505)"
Michaels Fresh Market,2043177.0,354856.0,41000.0,A,1300 E 47Th St,60653,Kenwood,39,4,17031390100,170313901001017.0,1185546.3076600826,1874136.304223178,41.8097727266,-87.5949608909,"(41.8097727266, -87.5949608909)"
M & D Variety Store,18355.0,7524.0,4500.0,B,1300 W 111Th St,60643,Morgan Park,75,34,17031750100,170317501004020.0,1169607.666885054,1831203.274607473,41.6923196266,-87.6546632113,"(41.6923196266, -87.6546632113)"
Jewel Food Store #3344,1192905.0,259.0,63407.0,A,1220 S Ashland Ave,60608,Near West Side,28,2,17031842900,170318429004020.0,1165876.7323615912,1894558.4346967393,41.8662541761,-87.6665241401,"(41.8662541761, -87.6665241401)"
Three Stars Liquors,1488855.0,274865.0,4600.0,B,310 N Kostner Ave,60624,West Garfield Park,26,28,17031260400,170312604001012.0,1146960.8395020878,1901550.341997033,41.8858229904,-87.7357878114,"(41.8858229904, -87.7357878114)"
79 Food Basket,1958784.0,341069.0,3000.0,B,1351 W 79Th St,60620,Auburn Gresham,71,21,17031710700,170317107001012.0,1168478.9380996423,1852330.8146064384,41.7503211206,-87.6581890529,"(41.7503211206, -87.6581890529)"
Jewel-Osco #3632,2037181.0,259.0,62349.0,A,3630 N Southport Ave,60613,Lake View,6,44,17031060400,170310604002006.0,1166281.150752959,1924353.2781345488,41.9480045508,-87.6641862307,"(41.9480045508, -87.6641862307)"
Ashland Food And Liquors,11636.0,5463.0,10001.0,A,1554 W 95Th St,60643,Washington Heights,73,21,17031730201,170317302011018.0,1167375.750540768,1841756.3725905512,41.7213269867,-87.6625336585,"(41.7213269867, -87.6625336585)"
Rose-Ridge Foods,1145417.0,216010.0,3000.0,B,10500 S Michigan Ave,60628,Roseland,49,9,17031490902,170314909022043.0,1178820.3146104673,1835321.039701272,41.7034152187,-87.6208096791,"(41.7034152187, -87.6208096791)"
Cottage Grove Food Mart,1898994.0,329883.0,4000.0,B,6307 S Cottage Grove Ave,60637,Woodlawn,42,20,17031420800,170314208001004.0,1182688.79232434,1863317.520917441,41.7801519592,-87.6057775241,"(41.7801519592, -87.6057775241)"
T & Z Meat,1974575.0,343806.0,3000.0,B,3021 N Cicero Ave,60641,Belmont Cragin,19,31,17031190100,170311901001017.0,1143886.9787092437,1919747.4291921416,41.9358159257,-87.7466186972,"(41.9358159257, -87.7466186972)"
"La Loma ""Carniceria Y Taqueria""",49880.0,17241.0,4501.0,B,2535 N Laramie Ave,60639,Belmont Cragin,19,31,17031190800,170311908004009.0,1141327.094421526,1916530.5217087832,41.9270360931,-87.756106183,"(41.9270360931, -87.756106183)"
Carniceria Jimenez #2,48081.0,16943.0,19000.0,A,3850 W Fullerton Ave,60647,Logan Square,22,30,17031220701,170312207013015.0,1150082.915412821,1915713.6676657829,41.9246283205,-87.723953321,"(41.9246283205, -87.723953321)"
Hoa Nom Co,8425.0,62866.0,4200.0,B,1101 W Argyle St,60640,Uptown,3,48,17031031200,170310312002002.0,1167937.142055611,1933534.056018171,41.9731612999,-87.6578331796,"(41.9731612999, -87.6578331796)"
Royla Blue Foods,27007.0,63611.0,2500.0,B,4359 S Campbell Ave,60632,Brighton Park,58,12,17031580700,170315807003013.0,1160464.1704940535,1875452.0040422697,41.8139376802,-87.686922014,"(41.8139376802, -87.686922014)"
Jewel Food Store #3057,1400.0,259.0,21785.0,A,6057 S Western Ave,60636,Chicago Lawn,66,16,17031835000,170318350001001.0,1161455.119872374,1864207.6199238845,41.7830611377,-87.6835988697,"(41.7830611377, -87.6835988697)"
Quintessence,2033012.0,350756.0,3000.0,B,1532 N Pulaski Rd,60651,Humboldt Park,23,30,17031230600,170312306001006.0,1149393.3785912676,1910052.7886349596,41.909107755,-87.7266341469,"(41.909107755, -87.7266341469)"
Cermak Produce,1476654.0,273149.0,29000.0,A,4234 N Kedzie Ave,60618,Irving Park,16,33,17031160501,170311605011009.0,1154249.8718380923,1928122.479929122,41.9585967247,-87.7083095759,"(41.9585967247, -87.7083095759)"
Old World Market,7507.0,3851.0,10001.0,A,5129 N Broadway,60640,Uptown,3,48,17031031200,170310312003004.0,1167423.681053109,1934373.3340121089,41.9754753986,-87.6596970117,"(41.9754753986, -87.6596970117)"
Mehrab Zabiha Meat & Tobacco,1094121.0,207539.0,3000.0,B,2445 W Devon Ave,60659,West Ridge,2,50,17031020802,170310208024001.0,1158669.746633367,1942366.0081807289,41.9975920168,-87.6916681219,"(41.9975920168, -87.6916681219)"
King Food & Liquor,40321.0,2926.0,3750.0,B,6858 S Halsted St,60621,Englewood,68,6,17031681100,170316811001011.0,1172117.4954189106,1859139.650890205,41.7689262968,-87.644655997,"(41.7689262968, -87.644655997)"
Paulina Super Market Inc,4851.0,3286.0,7000.0,B,7622 N Paulina St,60626,Rogers Park,1,49,17031010100,170310101002010.0,1163617.2385781803,1950601.539167988,42.020087315,-87.6732345632,"(42.020087315, -87.6732345632)"
Aldi Foods-Store #27,13986.0,5273.0,12300.0,A,3363 N Milwaukee Ave,60641,Irving Park,16,30,17031161300,170311613002008.0,1148660.976843234,1922173.9514245617,41.9423835134,-87.7290108595,"(41.9423835134, -87.7290108595)"
Aldi Inc Store #62,14006.0,5273.0,9495.0,B,1739 W Cermak Rd,60608,Lower West Side,31,25,17031843200,170318432002043.0,1164949.3459755136,1889411.85236391,41.8521511995,-87.6700746019,"(41.8521511995, -87.6700746019)"
"My Ranch, Inc.",1899688.0,20694.0,8500.0,B,4650 N Sheridan Rd,60640,Uptown,3,46,17031830700,170310315011002.0,1168740.4622678708,1931286.882205532,41.9669775683,-87.6549446417,"(41.9669775683, -87.6549446417)"
Save-A-Lot  #851,1167119.0,216203.0,114100.0,A,10700 S Halsted St,60628,Morgan Park,75,34,17031750100,170317501001000.0,1172839.7694387864,1833862.8472874165,41.6995474147,-87.6427519151,"(41.6995474147, -87.6427519151)"
Mario 'S Butcher Shop Fd Cntr,4248.0,85432.0,10001.0,A,5817 W Madison St,60644,Austin,25,29,17031252101,170312521011003.0,1137524.3342756743,1899380.9512429307,41.8800449808,-87.7704933793,"(41.8800449808, -87.7704933793)"
Bockwinkels,1491357.0,276156.0,7200.0,B,222 N Columbus Dr,60601,Loop,32,42,17031320100,170313201002032.0,1178260.6232739312,1901977.452988831,41.886339416,-87.62083615,"(41.886339416, -87.62083615)"
Supermercado Alex,1772307.0,4076.0,9375.0,B,4134 W 31St St,60623,South Lawndale,30,22,17031301803,170313018032019.0,1149168.2371555965,1883754.7411098608,41.8369472381,-87.7281423632,"(41.8369472381, -87.7281423632)"
Halal Meat & Grocery,55665.0,18191.0,2500.0,B,1414 W Devon Ave,60660,Rogers Park,1,40,17031010600,170310106003008.0,1165598.6391106143,1942654.1537479472,41.9982373871,-87.6661711005,"(41.9982373871, -87.6661711005)"
South Shore Food Market Inc.,2008403.0,349092.0,3000.0,B,7501 S Jeffery Blvd,60649,South Shore,43,8,17031431200,170314312002008.0,1190880.9102572692,1855602.5288156609,41.7587872873,-87.5759934845,"(41.7587872873, -87.5759934845)"
Supermercado El Mexicano,1840895.0,295467.0,4387.0,B,6701 N Clark St,60626,Rogers Park,1,49,17031830600,170318306002009.0,1163903.5084818443,1944589.8191825529,42.0035849743,-87.6723519319,"(42.0035849743, -87.6723519319)"
La Providencia Food Mart,16986.0,6991.0,2572.0,B,1658 W 21St St,60608,Lower West Side,31,25,17031310800,170313108003010.0,1165383.8992395352,1890168.8951614064,41.8542193742,-87.6684581591,"(41.8542193742, -87.6684581591)"
Aldi #79,1515471.0,5273.0,15150.0,A,7800 S South Chicago Ave,60619,Avalon Park,45,5,17031834300,170318343002003.0,1187754.1554187404,1853373.5179388705,41.7527456405,-87.5875234853,"(41.7527456405, -87.5875234853)"
Dominick'S # 86/1086,41625.0,5033.0,10001.0,A,3350 N Western Ave,60618,North Center,5,47,17031843700,170318437001022.0,1159720.9795570998,1922387.081109168,41.9427471952,-87.6883543215,"(41.9427471952, -87.6883543215)"
Family Pride,77270.0,22785.0,12500.0,A,10601 S Pulaski Rd,60655,Mount Greenwood,74,19,17031740200,170317402002010.0,1151594.3062861145,1833996.4798339107,41.7003552742,-87.7205408964,"(41.7003552742, -87.7205408964)"
Aldi Inc #58,13974.0,5273.0,12571.0,A,2431 W Montrose Ave,60618,North Center,5,47,17031050300,170310503001001.0,1159231.7831367336,1929105.8955775984,41.9611940986,-87.6899669704,"(41.9611940986, -87.6899669704)"
Carniceria La Villa #2,2060542.0,357089.0,3289.0,B,5800 W Grand Ave,60639,Belmont Cragin,19,37,17031191302,170311913021021.0,1137365.9008351532,1913858.093208353,41.919774901,-87.7707265258,"(41.919774901, -87.7707265258)"
Treasure Island Foods Inc,1303.0,85291.0,10001.0,A,75 W Elm St,60610,Near North Side,8,42,17031081000,170310810001000.0,1175348.3044341346,1908034.503614065,41.9030261368,-87.6313487722,"(41.9030261368, -87.6313487722)"
Jewel Food Store #3241,1398.0,259.0,24262.0,A,1341 N Paulina St,60622,West Town,24,1,17031241500,170312415002012.0,1164854.8124137202,1909123.544418089,41.9062437031,-87.6698622813,"(41.9062437031, -87.6698622813)"
Whole Foods Market,1933690.0,86298.0,74883.0,A,1550 N Kingsbury St,60642,Near North Side,8,32,17031842200,170318422001017.0,1169422.032999662,1910309.10446923,41.9093987878,-87.6530506979,"(41.9093987878, -87.6530506979)"
Joseph Food Mart,6157.0,62754.0,3000.0,B,8235 W Irving Park Rd,60634,Dunning,17,36,17031170500,170311705003004.0,1120303.8969689277,1925502.4247494664,41.9520185577,-87.8331668434,"(41.9520185577, -87.8331668434)"
Harper Foods,57683.0,18537.0,3300.0,B,1455 E 57Th St,60637,Hyde Park,41,5,17031411100,170314111002000.0,1187084.0793031498,1867457.9945814053,41.7914105694,-87.5895326278,"(41.7914105694, -87.5895326278)"
Potash Bros. Supermarket,164.0,21.0,12000.0,A,1525 N Clark St,60610,Near North Side,8,42,17031080201,170310802012003.0,1175288.471159548,1910618.448108088,41.9101179449,-87.6314908914,"(41.9101179449, -87.6314908914)"
Baltimore Food & Liquor,1446831.0,270755.0,3404.0,B,13322 S Baltimore Ave,60633,Hegewisch,55,10,17031550100,170315501004012.0,1199061.9749984262,1817112.1302290736,41.6529646117,-87.5472986528,"(41.6529646117, -87.5472986528)"
Supermercado Santos,1091886.0,206261.0,4000.0,B,4045 W 31St St,60623,South Lawndale,30,22,17031830500,170318305001001.0,1149716.404899851,1883686.719119906,41.8367499608,-87.7261326568,"(41.8367499608, -87.7261326568)"
Cermak Produce,53313.0,17784.0,10000.0,A,4800 W Diversey Ave,60639,Belmont Cragin,19,31,17031190200,170311902004016.0,1143869.8481677033,1918226.0439909615,41.9316414204,-87.7467199106,"(41.9316414204, -87.7467199106)"
Nickel Liquor & Mini Mart Inc,22084.0,9178.0,10001.0,A,3637 W Division St,60651,Humboldt Park,23,27,17031231200,170312312001002.0,1151779.2427703848,1907710.5383937536,41.9026337556,-87.7179312389,"(41.9026337556, -87.7179312389)"
Trader Joe'S East,1277005.0,211718.0,11600.0,A,1840 N Clybourn Ave,60614,Lincoln Park,7,32,17031832600,170318326002019.0,1168978.244367912,1912136.7918219091,41.9144237141,-87.654627843,"(41.9144237141, -87.654627843)"
Walgreens #162,18419.0,147.0,,A,1554 E 55Th St,60615,Hyde Park,41,4,17031410800,170314000000000.0,1187538.136,1868878.342,41.79529732,-87.58782256,"(41.79529732, -87.58782256)"
"Tony'S Finer Foods Enterprises, Inc.",1717529.0,305203.0,31000.0,A,4137 N Elston Ave,60618,Irving Park,16,39,17031160400,170311604001027.0,1150401.2985076683,1927194.4143455827,41.9561262015,-87.7224828263,"(41.9561262015, -87.7224828263)"
Natural Country Deli,2017781.0,350688.0,3500.0,B,6452 N Milwaukee Ave,60631,Norwood Park,10,41,17031100200,170311002001019.0,1132184.5426018387,1942510.9318083944,41.9984929696,-87.7890953687,"(41.9984929696, -87.7890953687)"
Logan Certified Foods Corp,1046303.0,23391.0,4500.0,B,2857 W Diversey Ave,60647,Logan Square,22,35,17031220400,170312204001003.0,1156600.2971969466,1918436.5314178157,41.93197047,-87.699931619,"(41.93197047, -87.699931619)"
Jewel Food Store #3170,1366.0,259.0,30374.0,A,5320 S Pulaski Rd,60632,West Elsdon,62,23,17031620200,170316202001001.0,1150568.177099948,1868914.951799974,41.7961975914,-87.7233918834,"(41.7961975914, -87.7233918834)"
Mounsef International,21126.0,86704.0,10001.0,A,4738 N Kedzie Ave,60625,Albany Park,14,33,17031140701,170311407011000.0,1154145.7098985217,1931473.0881109957,41.9677930872,-87.7086027049,"(41.9677930872, -87.7086027049)"
El Yunque Food & Liquor,1986802.0,346323.0,2500.0,B,1900 N California Ave,60647,Logan Square,22,35,17031222500,170312225001000.0,1157361.323079915,1912535.095581572,41.9157610232,-87.6972958109,"(41.9157610232, -87.6972958109)"
"Seven Nine Eleven Food Mart, Inc.",2036.0,401.0,4300.0,B,4884 S Archer Ave,60632,Archer Heights,57,14,17031570400,170315704002008.0,1151496.512405212,1871991.2033628856,41.8046211506,-87.7199070655,"(41.8046211506, -87.7199070655)"
A & R Food Mart,9125.0,4227.0,2500.0,B,5952 W Grand Ave,60639,Belmont Cragin,19,37,17031191302,170311913021018.0,1136148.464557395,1914149.526732603,41.9205964582,-87.7751926809,"(41.9205964582, -87.7751926809)"
Grand Food Market,1221783.0,223107.0,3952.0,B,5202 W Grand Ave,60639,Belmont Cragin,19,37,17031191200,170311912002006.0,1141369.1955228336,1912898.1662680104,41.9170677465,-87.7560413324,"(41.9170677465, -87.7560413324)"
Sam Food And Liquor,8745.0,4153.0,3000.0,B,6812 N Sheridan Rd,60626,Rogers Park,1,49,17031010502,170310105022000.0,1166934.708698008,1945473.413405616,42.0059448161,-87.6611747511,"(42.0059448161, -87.6611747511)"
Almuflihi Food & Liquor,62800.0,86373.0,4500.0,B,5404 S Halsted St,60609,New City,61,20,17031612100,170316121001039.0,1171851.2202830324,1868956.5354627836,41.7958707987,-87.6453441182,"(41.7958707987, -87.6453441182)"
Pete'S Meat & Grocery #2,1646096.0,296662.0,7500.0,B,2001 W 71St St,60636,West Englewood,67,17,17031672000,170316720003002.0,1164235.476836242,1857536.3314805245,41.764696121,-87.6735927847,"(41.764696121, -87.6735927847)"
Five Star Certified Inc,7168.0,3771.0,5000.0,B,935 W 87Th St,60620,Auburn Gresham,71,21,17031711400,170317114002006.0,1171458.618363869,1847102.1948860583,41.7359084057,-87.6474228803,"(41.7359084057, -87.6474228803)"
Dominick'S #1703,1574461.0,5033.0,49320.0,A,255 E Grand Ave,60611,Near North Side,8,42,17031081403,170310814031010.0,1178351.1702400555,1903928.0332534548,41.8916898398,-87.6204441348,"(41.8916898398, -87.6204441348)"
Super Mercado El Guerro,7546.0,3857.0,9375.0,B,1701 W 47Th St,60609,New City,61,20,17031611300,170316113003000.0,1165786.5456605123,1873500.5832346492,41.8084712383,-87.6674545133,"(41.8084712383, -87.6674545133)"
Pete'S Fresh Supermarket,1771242.0,312119.0,,A,2526 W Cermak Rd,60608,South Lawndale,30,28,17031840700,170318000000000.0,1159779.467,1889354.072,41.85210065,-87.68905111,"(41.85210065, -87.68905111)"
Chicago Health - Maple Street,2065274.0,357879.0,2900.0,B,22 W Maple St,60610,Near North Side,8,42,17031081100,170310811003002.0,1175919.201631833,1907658.8738939352,41.9019825524,-87.6292631031,"(41.9019825524, -87.6292631031)"
New Pop-In,1719179.0,306063.0,8784.0,B,413 S Kedzie Ave,60612,East Garfield Park,27,28,17031271200,170312712001033.0,1155148.6782666573,1897819.1171161383,41.8754237451,-87.7058203625,"(41.8754237451, -87.7058203625)"
W & R Food & Liquor Inc,19348.0,7922.0,2700.0,B,1717 E 79Th St,60649,South Chicago,46,8,17031460500,170314605007008.0,1189209.3830815733,1852902.615096005,41.7514187003,-87.5822058165,"(41.7514187003, -87.5822058165)"
"Kan-Zaman Mart, Inc.",1119908.0,209575.0,4600.0,B,2005 S Michigan Ave,60616,Near South Side,33,2,17031330100,170313301004046.0,1177567.032426759,1890666.6479502176,41.855317671,-87.6237265152,"(41.855317671, -87.6237265152)"
Z & S Food & Liquor,7382.0,3827.0,6000.0,B,1351 W 87Th St,60620,Auburn Gresham,71,21,17031711400,170317114001000.0,1168619.0560111357,1847024.553591743,41.7357569772,-87.6578282347,"(41.7357569772, -87.6578282347)"
Devon Market,1042888.0,201952.0,18500.0,A,1440 W Devon Ave,60660,Rogers Park,1,40,17031010600,170310106003012.0,1165344.9554057205,1942648.8500748195,41.9982282538,-87.6671044665,"(41.9982282538, -87.6671044665)"
Jewel Food Store #3176,1404.0,259.0,32294.0,A,9400 S Ashland Ave,60620,Washington Heights,73,21,17031730300,170317303001029.0,1167281.2951454776,1842343.8807126728,41.7229412182,-87.6628628713,"(41.7229412182, -87.6628628713)"
Orleans Market,23467.0,9485.0,3002.0,B,316 W Illinois St,60610,Near North Side,8,42,17031081800,170310818002056.0,1174028.5037281606,1903591.666749837,41.8908642852,-87.6363291879,"(41.8908642852, -87.6363291879)"
Caesar'S Foods Inc,13670.0,6312.0,10001.0,A,901 N Damen Ave,60622,West Town,24,32,17031242200,170312422002006.0,1162946.626975658,1906024.2440419935,41.8977792769,-87.6769588663,"(41.8977792769, -87.6769588663)"
Happy Foods,1618660.0,294177.0,11000.0,A,6783 N Northwest Hwy,60631,Edison Park,9,41,17031090200,170310902004007.0,1124182.6943602774,1944613.811204796,42.0043992612,-87.8184857554,"(42.0043992612, -87.8184857554)"
"Way Low Discount Food, Inc.",41036.0,16053.0,2500.0,B,1551 S Kedzie Ave,60623,North Lawndale,29,24,17031843100,170318431001029.0,1155321.4225621962,1892143.5663288,41.8598459614,-87.705338554,"(41.8598459614, -87.705338554)"
Zee Dollar And Food,2014197.0,350114.0,3000.0,B,375 E 75Th St,60619,Greater Grand Crossing,69,6,17031691300,170316913001000.0,1180143.2815005996,1855330.4424091831,41.758293315,-87.6153541087,"(41.758293315, -87.6153541087)"
J R Grocery Store,5644.0,3466.0,10001.0,A,505 E 134Th St,60827,Riverdale,54,9,17031540101,170315401011006.0,1182103.2655995083,1816525.0131739427,41.6517610645,-87.6093666123,"(41.6517610645, -87.6093666123)"
Centro Market,66257.0,20469.0,9100.0,B,5153 S Kedzie Ave,60632,Gage Park,63,14,17031630400,170316304004004.0,1155963.7604456872,1870068.760318221,41.7992570437,-87.7035747066,"(41.7992570437, -87.7035747066)"
Save-A-Lot  #852,1145759.0,216203.0,14166.0,A,7240 S Stony Island Ave,60649,South Shore,43,5,17031430400,170314304002007.0,1188030.8853089483,1857120.9566506508,41.7630223653,-87.5863901619,"(41.7630223653, -87.5863901619)"
"Tony'S Finer Foods Enterprises, Inc.",1717532.0,305203.0,33000.0,A,4608 W Belmont Ave,60641,Portage Park,15,30,17031151002,170311510024000.0,1144945.502930937,1920912.7847870197,41.9389938243,-87.7426989895,"(41.9389938243, -87.7426989895)"
Food 4 Less Midwest #789,1272529.0,251246.0,64486.0,A,4620 S Damen Ave,60609,New City,61,12,17031610300,170316103003015.0,1163694.5483752063,1873920.77923312,41.809668528,-87.6751156964,"(41.809668528, -87.6751156964)"
Adams Food Mart,1817376.0,316090.0,2500.0,B,559 N Laramie Ave,60644,Austin,25,28,17031251600,170312516003011.0,1141632.2601337098,1903412.6519004563,41.8910335471,-87.7553096457,"(41.8910335471, -87.7553096457)"
Dollar & Linen,1875260.0,46290.0,5800.0,B,1853 W 87Th St,60620,Auburn Gresham,71,21,17031711300,170317113001005.0,1165310.5838773092,1846937.633330876,41.7355890742,-87.6699517263,"(41.7355890742, -87.6699517263)"
Aldi Inc Store 14,1242812.0,5273.0,15000.0,A,5629 W Fillmore St,60644,Austin,25,29,17031831400,170318314002056.0,1138888.1602307956,1894751.1917158663,41.8673156479,-87.765597943,"(41.8673156479, -87.765597943)"
Richwell Market,1070189.0,205927.0,7500.0,B,1835 S Canal St,60616,Lower West Side,31,25,17031843200,170318432002008.0,1173469.3263424025,1891121.2873226055,41.8566571782,-87.6387533453,"(41.8566571782, -87.6387533453)"
Walgreens #05034,18768.0,7551.0,,A,6315 S Kedzie Ave,60629,Chicago Lawn,66,15,17031660600,170317000000000.0,1156182.658,1862477.573,41.77842134,-87.70297606,"(41.77842134, -87.70297606)"
Dominick'S # 12/0012,41645.0,5033.0,10001.0,A,6009 N Broadway,60660,Edgewater,77,48,17031030101,170310301011003.0,1167254.1386252292,1940095.8362018457,41.9911817534,-87.6601550832,"(41.9911817534, -87.6601550832)"
Budget Finer Foods,1337515.0,260726.0,3200.0,B,6604 N Sheridan Rd,60626,Rogers Park,1,49,17031010502,170310105021006.0,1167008.167197132,1944300.9984214972,42.0027261067,-87.6609383664,"(42.0027261067, -87.6609383664)"
Discount Pantry Corporation,32952.0,14616.0,3600.0,B,4153 W 63Rd St,60629,West Lawn,65,13,17031650301,170316503013003.0,1149540.4794842748,1862455.9059796464,41.7784929073,-87.727327519,"(41.7784929073, -87.727327519)"
Par Birdie Foods,28222.0,11464.0,6000.0,B,2234 W Devon Ave,60659,West Ridge,2,50,17031020500,170310205002010.0,1160106.8232114485,1942489.4136746884,41.9979009735,-87.6863782179,"(41.9979009735, -87.6863782179)"
Jewel Food Store #3441,1375.0,259.0,22443.0,A,2940 N Ashland Ave,60657,Lake View,6,32,17031062600,170310626001023.0,1165101.0211875795,1919776.9355899843,41.9354720327,-87.6686545431,"(41.9354720327, -87.6686545431)"
Charlies  Supermarket Inc.,1441898.0,268397.0,2500.0,B,2941 W Montrose Ave,60618,Irving Park,16,33,17031160601,170311606012000.0,1155799.62239241,1929051.344380061,41.9611144263,-87.7025869386,"(41.9611144263, -87.7025869386)"
Jewel Food Store #3501,1192909.0,259.0,56010.0,A,3400 N Western Ave,60618,North Center,5,47,17031843700,170318437001018.0,1159734.0013868131,1922547.5902326824,41.9431873732,-87.6883020207,"(41.9431873732, -87.6883020207)"
4343 Petes Fresh Market,1336669.0,260303.0,57000.0,A,4343 S Pulaski Rd,60632,Archer Heights,57,14,17031570100,170315701001015.0,1150447.9257608664,1875370.285543474,41.8139143113,-87.7236649419,"(41.8139143113, -87.7236649419)"
La Feria Grocery,26609.0,11067.0,10001.0,A,9704 S Commercial Ave,60617,South Deering,51,10,17031510100,170315101002033.0,1197784.6295619695,1841132.9778545648,41.7189121563,-87.5511742972,"(41.7189121563, -87.5511742972)"
Potash Bros Inc,19826.0,8018.0,10001.0,A,875 N State St,60610,Near North Side,8,42,17031081201,170310812012003.0,1176242.0995097312,1906530.221240087,41.8988781974,-87.6281111483,"(41.8988781974, -87.6281111483)"
Imperial Tower Market,22624.0,9323.0,6031.0,B,4250 N Marine Dr,60613,Uptown,3,46,17031031400,170310314001001.0,1170946.9174634116,1928768.9097340296,41.960019954,-87.6469060276,"(41.960019954, -87.6469060276)"
Moo & Oink Inc,11915.0,5928.0,21500.0,A,4848 W Madison St,60644,Austin,25,28,17031251800,170312518004015.0,1143906.3902417778,1899620.061642381,41.8805838854,-87.7470529414,"(41.8805838854, -87.7470529414)"
Save-A-Lot #882,2079367.0,216203.0,16290.0,A,344 E 63Rd St,60637,Washington Park,40,20,17031400800,170314008001008.0,1179590.4356351024,1863353.334400643,41.7803216101,-87.6171353804,"(41.7803216101, -87.6171353804)"
Market In The Park,1334026.0,258947.0,5049.0,B,5050 S Lake Shore Dr,60615,Kenwood,39,4,17031390700,170313907003004.0,1189144.3247518237,1871655.5454706573,41.8028797781,-87.5818436939,"(41.8028797781, -87.5818436939)"
Sun Liquors,19461.0,88712.0,4350.0,B,1101 W Granville Ave,60660,Edgewater,77,48,17031030102,170310301022001.0,1167723.7839086289,1941296.2999737784,41.9944657079,-87.6583928132,"(41.9944657079, -87.6583928132)"
Supermercado Chapala,32236.0,86830.0,10001.0,A,7117 N Clark St,60626,Rogers Park,1,49,17031010702,170310107024002.0,1163327.6427636093,1947643.2360857404,42.0119757995,-87.6743840578,"(42.0119757995, -87.6743840578)"
Supermercado Gela'S,67273.0,20695.0,3125.0,B,2701 S Lawndale Ave,60623,South Lawndale,30,22,17031301701,170313017012003.0,1152182.029659277,1885772.1749317604,41.8424245295,-87.7170303155,"(41.8424245295, -87.7170303155)"
Farm Super Market,2017764.0,339512.0,3000.0,B,2255 W Devon Ave,60659,West Ridge,2,50,17031020901,170310209011002.0,1159880.4293296346,1942402.4226755444,41.9976669579,-87.687213456,"(41.9976669579, -87.687213456)"
Aldi Inc #53,13964.0,5273.0,13981.0,A,5775 S Archer Ave,60638,Garfield Ridge,56,23,17031560700,170315607002042.0,1141308.6934481813,1868917.7316582887,41.7963804895,-87.7573475722,"(41.7963804895, -87.7573475722)"
Aldi Inc #64,13976.0,5273.0,11760.0,A,1767 N Milwaukee Ave,60647,West Town,24,32,17031831000,170318310001003.0,1161475.2331590878,1911773.9936050177,41.91358779,-87.6822028354,"(41.91358779, -87.6822028354)"
Eddie & Son Food &Liq.,4146.0,3169.0,2500.0,B,3624 W North Ave,60647,Humboldt Park,23,26,17031230400,170312307001000.0,1151856.6139789422,1910429.2636390035,41.9100926711,-87.7175753532,"(41.9100926711, -87.7175753532)"
La Casa Del Pueblo Inc,31675.0,14392.0,10001.0,A,1810 S Blue Island Ave,60608,Lower West Side,31,25,17031310600,170313106002008.0,1167219.016357534,1891361.4813615351,41.8574527464,-87.6616883311,"(41.8574527464, -87.6616883311)"
Aldi'S,1817903.0,5273.0,15255.0,A,4500 N Broadway,60640,Uptown,3,46,17031830700,170318307004004.0,1168297.690487429,1930121.3669074057,41.9637889643,-87.6566064924,"(41.9637889643, -87.6566064924)"
Fairplay Finer Food,10940.0,86481.0,10001.0,A,2200 S Western Ave,60608,Lower West Side,31,25,17031841300,170318413002001.0,1160669.425627566,1889318.196821948,41.8519838396,-87.6857857042,"(41.8519838396, -87.6857857042)"
Laramie Bakery & Deli,2014141.0,350093.0,12331.0,A,3232 N Harlem Ave,60634,Dunning,17,36,17031170800,170311708001011.0,1127470.2113703247,1920796.0675339887,41.9389859689,-87.8069290648,"(41.9389859689, -87.8069290648)"
B & H Food & Grocery,6068.0,3550.0,4500.0,B,713 S Albany Ave,60612,East Garfield Park,27,28,17031837300,170318373001010.0,1155850.7566169042,1896704.148596631,41.872350043,-87.7032726418,"(41.872350043, -87.7032726418)"
Fruteria El Mercado,21239.0,8832.0,5500.0,B,2759 S Spaulding Ave,60623,South Lawndale,30,22,17031840800,170318408001015.0,1154858.0081655954,1885248.0532689432,41.8409331636,-87.7072241769,"(41.8409331636, -87.7072241769)"
Mandy'S Liquor,17168.0,7030.0,3000.0,B,1957 W Lawrence Ave,60640,Lincoln Square,4,47,17031830800,170318308001003.0,1162346.5151555608,1931848.8466024203,41.9686561373,-87.678438479,"(41.9686561373, -87.678438479)"
Aldi #28,1519765.0,5273.0,15154.0,A,4934 S Kedzie Ave,60632,Brighton Park,58,14,17031630300,170316303002000.0,1155840.3646517831,1871594.2630114884,41.8034457131,-87.7039862718,"(41.8034457131, -87.7039862718)"
The Market Place Foodstore,10794.0,24875.0,16900.0,A,521 W Diversey Pkwy,60614,Lincoln Park,7,43,17031070102,170310701022000.0,1172301.9044249672,1918839.6941741232,41.9327439571,-87.6422188452,"(41.9327439571, -87.6422188452)"
